!SIL	SIL_S
--CAN-SEGO/CANSECO-	S_B EH_I G_I OW_E
RESOURCE	R_B IY_I S_I OW_I R_I S_E
RESOURCES	R_B IH_I S_I OW_I R_I S_I IH_I Z_E
RESP-ECT-	R_B IH_I S_I P_E
RESPECT	R_B IH_I S_I P_I EH_I K_I T_E #2
RESPECTABLE	R_B IH_I S_I P_I EH_I K_I T_I AX_I B_I AX_I L_E
RESPECTED	R_B IH_I S_I P_I EH_I K_I T_I IH_I D_E
RESPECTFUL	R_B IH_I S_I P_I EH_I K_I T_I F_I AX_I L_E
RESPECTIVE	R_B IH_I S_I P_I EH_I K_I T_I IH_I V_E
RESPECTIVELY	R_B IH_I S_I P_I EH_I K_I T_I IH_I V_I L_I IY_E
RESPECTS	R_B IH_I S_I P_I EH_I K_I T_I S_E
RESPIRATION	R_B EH_I S_I P_I IH_I R_I EY_I SH_I IH_I N_E
RESPIRATOR	R_B EH_I S_I P_I IH_I R_I EY_I T_I ER_E
RESPIRATORY	R_B EH_I S_I P_I IH_I R_I IH_I T_I OW_I R_I IY_E
RESPO-NSIBLE-	R_B IH_I S_I P_I AA_E
RESPON-SIBILITIES-	R_B IH_I S_I P_I AA_I N_E #1
RESPON-SIBLE-	R_B IH_I S_I P_I AA_I N_E #2
RESPOND	R_B IH_I S_I P_I AA_I N_I D_E
RESPONDED	R_B IH_I S_I P_I AA_I N_I D_I IH_I D_E
RESPONDENT	R_B IH_I S_I P_I AA_I N_I D_I IH_I N_I T_E
RESPONDING	R_B IH_I S_I P_I AA_I N_I D_I IH_I NG_E
RESPONDS	R_B IH_I S_I P_I AA_I N_I D_I Z_E
RESPONS-IBILITY-	R_B IH_I S_I P_I AA_I N_I S_E #1
RESPONS-IBLE-	R_B IH_I S_I P_I AA_I N_I S_E #2
RESPONSE	R_B IH_I S_I P_I AA_I N_I S_E #3
RESPONSES	R_B IH_I S_I P_I AA_I N_I S_I IH_I Z_E
RESPONSIBILITIES	R_B IH_I S_I P_I AA_I N_I S_I IH_I B_I IH_I L_I IH_I T_I IY_I Z_E #2
RESPONSIBILITY	R_B IH_I S_I P_I AA_I N_I S_I IH_I B_I IH_I L_I IH_I T_I IY_E #2
RESPONSIBLE	R_B IH_I S_I P_I AA_I N_I S_I IH_I B_I AX_I L_E
RESPONSIVE	R_B IH_I S_I P_I AA_I N_I S_I IH_I V_E
REST	R_B EH_I S_I T_E #2
REST'LL	R_B EH_I S_I T_I AX_I L_E
REST-AURANT-	R_B EH_I S_I T_E #3
REST-AURANTS-	R_B EH_I S_I T_E #4
RESTATE	R_B IY_I S_I T_I EY_I T_E
RESTATING	R_B IY_I S_I T_I EY_I T_I IH_I NG_E
RESTAU-RANT-	R_B EH_I S_I T_I AX_E
RESTAURANT	R_B EH_I S_I T_I AX_I R_I AA_I N_I T_E #2
RESTAURANT'S	R_B EH_I S_I T_I AX_I R_I AA_I N_I T_I S_E #2
RESTAURANTS	R_B EH_I S_I T_I AX_I R_I AA_I N_I T_I S_E #3
RESTFUL	R_B EH_I S_I T_I F_I AX_I L_E
RESTING	R_B EH_I S_I T_I IH_I NG_E
RESTITUTION	R_B EH_I S_I T_I IH_I T_I UW_I SH_I IH_I N_E
RESTLESS	R_B EH_I S_I T_I L_I IH_I S_E
RESTOCK	R_B IY_I S_I T_I AA_I K_E
RESTOCKED	R_B IY_I S_I T_I AA_I K_I T_E
RESTORAGE	R_B IH_I S_I T_I OW_I R_I IH_I JH_E
RESTORATION	R_B EH_I S_I T_I AX_I R_I EY_I SH_I IH_I N_E
RESTORE	R_B IH_I S_I T_I OW_I R_E
RESTORED	R_B IH_I S_I T_I OW_I R_I D_E
RESTORES	R_B IH_I S_I T_I OW_I R_I Z_E
RESTORING	R_B IH_I S_I T_I OW_I R_I IH_I NG_E
RESTRAIN	R_B IH_I S_I T_I R_I EY_I N_E
RESTRAINED	R_B IH_I S_I T_I R_I EY_I N_I D_E
RESTRAINT	R_B IH_I S_I T_I R_I EY_I N_I T_E
RESTRAINTS	R_B IH_I S_I T_I R_I EY_I N_I T_I S_E
RESTRICT	R_B IH_I S_I T_I R_I IH_I K_I T_E
RESTRICTED	R_B IH_I S_I T_I R_I IH_I K_I T_I IH_I D_E
RESTRICTING	R_B IH_I S_I T_I R_I IH_I K_I T_I IH_I NG_E
RESTRICTION	R_B IH_I S_I T_I R_I IH_I K_I SH_I IH_I N_E
RESTRICTIONS	R_B IH_I S_I T_I R_I IH_I K_I SH_I IH_I N_I Z_E
RESTRICTIVE	R_B IH_I S_I T_I R_I IH_I K_I T_I IH_I V_E
RESTRICTS	R_B IH_I S_I T_I R_I IH_I K_I T_I S_E
RESTROOM	R_B EH_I S_I T_I R_I UW_I M_E
RESTROOMS	R_B EH_I S_I T_I R_I UW_I M_I Z_E
RESTRUCTURE	R_B IY_I S_I T_I R_I AH_I K_I CH_I ER_E
RESTRUCTURED	R_B IY_I S_I T_I R_I AH_I K_I CH_I ER_I D_E
RESTRUCTURING	R_B IY_I S_I T_I R_I AH_I K_I CH_I AX_I R_I IH_I NG_E
RESTS	R_B EH_I S_I T_I S_E
RESUBSCRIBE	R_B IY_I S_I AX_I B_I S_I K_I R_I AY_I B_E
RESULT	R_B IH_I Z_I AH_I L_I T_E
RESULTED	R_B IH_I Z_I AH_I L_I T_I IH_I D_E
RESULTING	R_B IH_I Z_I AH_I L_I T_I IH_I NG_E
RESULTS	R_B IH_I Z_I AH_I L_I T_I S_E #2
RESUME	R_B EH_I Z_I AX_I M_I EY_E
RESUMED	R_B IH_I Z_I UW_I M_I D_E
RESUMES	R_B EH_I Z_I AX_I M_I EY_I Z_E
RESUR-FACED-	R_B IY_I S_I ER_E
RESURFACED	R_B IY_I S_I ER_I F_I AX_I S_I T_E
RESURGENCE	R_B IH_I S_I ER_I JH_I IH_I N_I S_E
RESURRECTED	R_B EH_I Z_I AX_I R_I EH_I K_I T_I IH_I D_E
RESURRECTION	R_B EH_I Z_I AX_I R_I EH_I K_I SH_I IH_I N_E
RETAIL	R_B IY_I T_I EY_I L_E
RETAILER	R_B IY_I T_I EY_I L_I ER_E
RETAILERS	R_B IY_I T_I EY_I L_I ER_I Z_E
RETAIN	R_B IH_I T_I EY_I N_E
RETAINED	R_B IH_I T_I EY_I N_I D_E
RETAINER	R_B IH_I T_I EY_I N_I ER_E
RETAINING	R_B IH_I T_I EY_I N_I IH_I NG_E
RETAINS	R_B IH_I T_I EY_I N_I Z_E
RETALIATE	R_B IH_I T_I AE_I L_I IY_I EY_I T_E
RETALIATING	R_B IH_I T_I AE_I L_I IY_I EY_I T_I IH_I NG_E
RETARDED	R_B IH_I T_I AA_I R_I D_I IH_I D_E
RETEACHING	R_B IY_I T_I IY_I CH_I IH_I NG_E
RETENTION	R_B IH_I T_I EH_I N_I SH_I IH_I N_E
RETEST	R_B IY_I T_I EH_I S_I T_E
RETESTED	R_B IY_I T_I EH_I S_I T_I IH_I D_E
RETESTS	R_B IY_I T_I EH_I S_I T_I S_E
RETHINK	R_B IY_I TH_I IH_I NG_I K_E
RETHINKING	R_B IY_I TH_I IH_I NG_I K_I IH_I NG_E
RETHOUGHT	R_B IY_I TH_I AO_I T_E
RETI-RE-	R_B IH_I T_I AY_E #1
RETI-REMENT-	R_B IH_I T_I AY_E #2
RETICENT	R_B EH_I T_I IH_I S_I IH_I N_I T_E
RETILE	R_B IY_I T_I AY_I L_E
RETIRE	R_B IH_I T_I AY_I R_E #1
RETIRE-MENT-	R_B IH_I T_I AY_I R_E #2
RETIRED	R_B IH_I T_I AY_I R_I D_E
RETIREE	R_B IH_I T_I AY_I R_I IY_E
RETIREES	R_B IH_I T_I AY_I R_I IY_I Z_E
RETIREMENT	R_B IH_I T_I AY_I R_I M_I IH_I N_I T_E
RETIREMENT'S	R_B IH_I T_I AY_I R_I M_I IH_I N_I T_I S_E
RETIRES	R_B IH_I T_I AY_I R_I Z_E
RETIRING	R_B IH_I T_I AY_I R_I IH_I NG_E
RETITLED	R_B IY_I T_I AY_I T_I AX_I L_I D_E
RETOOL	R_B IY_I T_I UW_I L_E
RETOOLING	R_B IY_I T_I UW_I L_I IH_I NG_E
RETORT	R_B IH_I T_I OW_I R_I T_E
RETRACTS	R_B IH_I T_I R_I AE_I K_I T_I S_E
RETRAINING	R_B IY_I T_I R_I EY_I N_I IH_I NG_E
RETREADING	R_B IY_I T_I R_I EH_I D_I IH_I NG_E
RETREAT	R_B IH_I T_I R_I IY_I T_E
RETREATING	R_B IH_I T_I R_I IY_I T_I IH_I NG_E
RETREATS	R_B IH_I T_I R_I IY_I T_I S_E
RETRENCHING	R_B IY_I T_I R_I EH_I N_I CH_I IH_I NG_E
RETRIAL	R_B IY_I T_I R_I AY_I AX_I L_E
RETRIALED	R_B IY_I T_I R_I AY_I AX_I L_I D_E
RETRIALS	R_B IY_I T_I R_I AY_I AX_I L_I Z_E
RETRIBUTION	R_B EH_I T_I R_I IH_I B_I Y_I UW_I SH_I IH_I N_E
RETRIED	R_B IY_I T_I R_I AY_I D_E
RETRIEVE	R_B IH_I T_I R_I IY_I V_E
RETRIEVER	R_B IH_I T_I R_I IY_I V_I ER_E
RETRIEVER'S	R_B IH_I T_I R_I IY_I V_I ER_I Z_E #1
RETRIEVERS	R_B IH_I T_I R_I IY_I V_I ER_I Z_E #2
RETROACTIVE	R_B EH_I T_I R_I OW_I AE_I K_I T_I IH_I V_E
RETROACTIVELY	R_B EH_I T_I R_I OW_I AE_I K_I T_I IH_I V_I L_I IY_E
RETROSPECT	R_B EH_I T_I R_I AX_I S_I P_I EH_I K_I T_E
RETROSPECTIVE	R_B EH_I T_I R_I AX_I S_I P_I EH_I K_I T_I IH_I V_E
RETRY	R_B IY_I T_I R_I AY_E
RETRYING	R_B IY_I T_I R_I AY_I IH_I NG_E
RETURN	R_B IH_I T_I ER_I N_E
RETURNABLE	R_B IH_I T_I ER_I N_I AX_I B_I AX_I L_E
RETURNED	R_B IH_I T_I ER_I N_I D_E
RETURNING	R_B IH_I T_I ER_I N_I IH_I NG_E
RETURNS	R_B IH_I T_I ER_I N_I Z_E
RETYPE	R_B IY_I T_I AY_I P_E
RETYPES	R_B IY_I T_I AY_I P_I S_E
RETYPING	R_B IY_I T_I AY_I P_I IH_I NG_E
REU-NION-	R_B IY_I Y_I UW_E
REUNIO-N-	R_B IY_I Y_I UW_I N_I Y_I IH_E
REUNION	R_B IY_I Y_I UW_I N_I Y_I IH_I N_E #2
REUNIONS	R_B IY_I Y_I UW_I N_I Y_I IH_I N_I Z_E
REUNITED	R_B IY_I Y_I UH_I N_I AY_I T_I IH_I D_E
REUPHOLSTERED	R_B IH_I AX_I P_I HH_I OW_I L_I S_I T_I ER_I D_E
REUPHOLSTERED	R_B IY_I AX_I P_I HH_I OW_I L_I S_I T_I ER_I D_E
REUSABLE	R_B IY_I Y_I UW_I Z_I AX_I B_I AX_I L_E
REUSE	R_B IY_I Y_I UW_I Z_E
REUSED	R_B IY_I Y_I UW_I Z_I D_E
REUSING	R_B IY_I Y_I UW_I Z_I IH_I NG_E
REV-ENUE-	R_B EH_I V_E
REVALUED	R_B IY_I V_I AE_I L_I Y_I UW_I D_E
REVAMPED	R_B IY_I V_I AE_I M_I P_I T_E
REVAMPING	R_B IY_I V_I AE_I M_I P_I IH_I NG_E
REVARNISH	R_B IY_I V_I AA_I R_I N_I IH_I SH_E
REVEAL	R_B IH_I V_I IY_I L_E
REVEALED	R_B IH_I V_I IY_I L_I D_E
REVEALING	R_B IH_I V_I IY_I L_I IH_I NG_E
REVELATION	R_B EH_I V_I AX_I L_I EY_I SH_I IH_I N_E
REVENGE	R_B IH_I V_I EH_I N_I JH_E #2
REVENUE	R_B EH_I V_I IH_I N_I UW_E
REVENUES	R_B EH_I V_I IH_I N_I UW_I Z_E
REVERED	R_B IH_I V_I IY_I R_I D_E
REVERSAL	R_B IH_I V_I ER_I S_I AX_I L_E
REVERSE	R_B IH_I V_I ER_I S_E
REVERSED	R_B IH_I V_I ER_I S_I T_E
REVERSIBLE	R_B IH_I V_I ER_I S_I AX_I B_I AX_I L_E
REVERT	R_B IH_I V_I ER_I T_E
REVERTING	R_B IH_I V_I ER_I T_I IH_I NG_E
REVERTS	R_B IH_I V_I ER_I T_I S_E
REVIEW	R_B IH_I V_I Y_I UW_E
REVIEWED	R_B IH_I V_I Y_I UW_I D_E
REVIEWERS	R_B IH_I V_I Y_I UW_I ER_I Z_E
REVIEWING	R_B IH_I V_I Y_I UW_I IH_I NG_E
REVIEWS	R_B IH_I V_I Y_I UW_I Z_E #2
REVISE	R_B IH_I V_I AY_I Z_E
REVISED	R_B IH_I V_I AY_I Z_I D_E
REVISING	R_B IH_I V_I AY_I Z_I IH_I NG_E
REVISION	R_B IH_I V_I IH_I ZH_I IH_I N_E
REVITALIZING	R_B IY_I V_I AY_I T_I AX_I L_I AY_I Z_I IH_I NG_E
REVIVAL	R_B IH_I V_I AY_I V_I AX_I L_E
REVIVE	R_B IH_I V_I AY_I V_E
REVIVED	R_B IH_I V_I AY_I V_I D_E
REVIVING	R_B IH_I V_I AY_I V_I IH_I NG_E
REVOKE	R_B IH_I V_I OW_I K_E
REVOKED	R_B IH_I V_I OW_I K_I T_E
REVOL-VES-	R_B IH_I V_I AO_I L_E
REVOLT	R_B IH_I V_I OW_I L_I T_E
REVOLTED	R_B IH_I V_I OW_I L_I T_I IH_I D_E
REVOLTING	R_B IH_I V_I OW_I L_I T_I IH_I NG_E #2
REVOLTS	R_B IH_I V_I OW_I L_I T_I S_E
REVOLUTION	R_B EH_I V_I AX_I L_I UW_I SH_I IH_I N_E
REVOLUTIONARY	R_B EH_I V_I AX_I L_I UW_I SH_I IH_I N_I EH_I R_I IY_E
REVOLUTIONIZED	R_B EH_I V_I AX_I L_I UW_I SH_I IH_I N_I AY_I Z_I D_E
REVOLUTIONS	R_B EH_I V_I AX_I L_I UW_I SH_I IH_I N_I Z_E
REVOLVE	R_B IH_I V_I AO_I L_I V_E
REVOLVED	R_B IH_I V_I AO_I L_I V_I D_E
REVOLVER	R_B IH_I V_I AO_I L_I V_I ER_E
REVOLVERS	R_B IH_I V_I AO_I L_I V_I ER_I Z_E
REVOLVES	R_B IH_I V_I AO_I L_I V_I Z_E
REVOLVING	R_B IH_I V_I AO_I L_I V_I IH_I NG_E
REVOTED	R_B IY_I V_I OW_I T_I IH_I D_E
REWALLPAPER	R_B IY_I W_I AO_I L_I P_I EY_I P_I ER_E
REWALLPAPERING	R_B IY_I W_I AO_I L_I P_I EY_I P_I AX_I R_I IH_I NG_E
REWARD	R_B IH_I W_I OW_I R_I D_E
REWARDED	R_B IH_I W_I OW_I R_I D_I IH_I D_E
REWARDING	R_B IH_I W_I OW_I R_I D_I IH_I NG_E #2
REWARDS	R_B IH_I W_I OW_I R_I D_I Z_E
REWELDED	R_B IY_I W_I EH_I L_I D_I IH_I D_E
REWIND	R_B IY_I W_I AY_I N_I D_E
REWIRE	R_B IY_I W_I AY_I R_E
REWIRED	R_B IY_I W_I AY_I R_I D_E
REWIRING	R_B IY_I W_I AY_I R_I IH_I NG_E
REWORD	R_B IY_I W_I ER_I D_E
REWORKED	R_B IY_I W_I ER_I K_I T_E
REWRITE	R_B IY_I R_I AY_I T_E
REWRITTEN	R_B IY_I R_I IH_I T_I EN_E
REX	R_B EH_I K_I S_E #2
REXES	R_B EH_I K_I S_I IH_I Z_E
REYNOLD'S	R_B EH_I N_I AX_I L_I D_I Z_E #1
REYNOLD-S-	R_B EH_I N_I AX_I L_I D_E
REYNOLDS	R_B EH_I N_I AX_I L_I D_I Z_E #2
RHAPSODY	R_B AE_I P_I S_I AX_I D_I IY_E
RHETORIC	R_B EH_I T_I AX_I R_I IH_I K_E
RHINES	R_B AY_I N_I Z_E
RHO-DE-	R_B OW_E #1
RHODE	R_B OW_I D_E #2
RHODES	R_B OW_I D_I Z_E #1
RHYME	R_B AY_I M_E
RHYMED	R_B AY_I M_I D_E
RHYMES	R_B AY_I M_I Z_E
RHYTHM	R_B IH_I DH_I AX_I M_E
RHYTHMS	R_B IH_I DH_I AX_I M_I Z_E
RI-CE-	R_B AY_E #3
RI-CHARD-	R_B IH_E #62
RI-CHARDSON-	R_B IH_E #63
RI-DE-	R_B AY_E #4
RI-DICULOUS-	R_B IH_E #64
RI-DICULOUSLY-	R_B IH_E #65
RI-GHT-	R_B AY_E #5
RI-VER-	R_B IH_E #66
RIB	R_B IH_I B_E
RIBBON	R_B IH_I B_I AX_I N_E
RIBBONS	R_B IH_I B_I AX_I N_I Z_E
RIBCAGE	R_B IH_I B_I K_I EY_I JH_E
RIBS	R_B IH_I B_I Z_E
RICA	R_B IY_I K_I AX_E
RICAN	R_B IY_I K_I AX_I N_E
RICANS	R_B IY_I K_I AX_I N_I Z_E
RICE	R_B AY_I S_E
RICH	R_B IH_I CH_E
RICHARD	R_B IH_I CH_I ER_I D_E #1
RICHARD-SON-	R_B IH_I CH_I ER_I D_E #2
RICHARDS	R_B IH_I CH_I ER_I D_I Z_E #2
RICHARDSON	R_B IH_I CH_I ER_I D_I S_I AX_I N_E
RICHARDSON'S	R_B IH_I CH_I ER_I D_I S_I AX_I N_I Z_E
RICHER	R_B IH_I CH_I ER_E
RICHIE	R_B IH_I CH_I IY_E #1
RICHLAND	R_B IH_I CH_I L_I AX_I N_I D_E
RICHLAND'S	R_B IH_I CH_I L_I AX_I N_I D_I Z_E
RICHMOND	R_B IH_I CH_I M_I AX_I N_I D_E
RICHY	R_B IH_I CH_I IY_E #2
RICK	R_B IH_I K_E #6
RICK'S	R_B IH_I K_I S_E
RICKEY	R_B IH_I K_I IY_E #1
RICKSUN	R_B IH_I K_I S_I AH_I N_E
RICKY	R_B IH_I K_I IY_E #2
RICO	R_B IY_I K_I OW_E
RICOCHETED	R_B IH_I K_I AX_I SH_I EY_I D_E
RID	R_B IH_I D_E #2
RID-ICULOUS-	R_B IH_I D_E #3
RIDDEN	R_B IH_I D_I EN_E
RIDDLE	R_B IH_I D_I AX_I L_E
RIDE	R_B AY_I D_E #3
RIDER	R_B AY_I D_I ER_E #1
RIDERS	R_B AY_I D_I ER_I Z_E
RIDES	R_B AY_I D_I Z_E
RIDGE	R_B IH_I JH_E
RIDGECREST	R_B IH_I JH_I K_I R_I EH_I S_I T_E
RIDGED	R_B IH_I JH_I D_E
RIDGES	R_B IH_I JH_I IH_I Z_E
RIDI-CULOUS-	R_B IH_I D_I IH_E
RIDICUL-OUS-	R_B IH_I D_I IH_I K_I Y_I AX_I L_E
RIDICULE	R_B IH_I D_I IH_I K_I Y_I UW_I L_E
RIDICULED	R_B IH_I D_I IH_I K_I Y_I UW_I L_I D_E
RIDICULOUS	R_B IH_I D_I IH_I K_I Y_I AX_I L_I IH_I S_E
RIDICULOUSLY	R_B IH_I D_I IH_I K_I Y_I AX_I L_I IH_I S_I L_I IY_E
RIDING	R_B AY_I D_I IH_I NG_E
RIDLEY'S	R_B IH_I D_I L_I IY_I Z_E
RIDS	R_B IH_I D_I Z_E
RIFF	R_B IH_I F_E #2
RIFFRAFF	R_B IH_I F_I R_I AE_I F_E
RIFLE	R_B AY_I F_I AX_I L_E
RIFLED	R_B AY_I F_I AX_I L_I D_E
RIFLERY	R_B AY_I F_I AX_I L_I R_I IY_E
RIFLES	R_B AY_I F_I AX_I L_I Z_E
RIG	R_B IH_I G_E
RIGAMAROLE	R_B IH_I G_I AX_I M_I AX_I R_I OW_I L_E
RIGGED	R_B IH_I G_I D_E
RIGGING	R_B IH_I G_I IH_I NG_E
RIGH-T-	R_B AY_E #6
RIGHT	R_B AY_I T_E #3
RIGHT-HANDER	R_B AY_I T_I S_I HH_I AE_I N_I D_I ER_E
RIGHTED	R_B AY_I T_I IH_I D_E
RIGHTEOUS	R_B AY_I CH_I IH_I S_E
RIGHTFULLY	R_B AY_I T_I F_I AX_I L_I IY_E
RIGHTLY	R_B AY_I T_I L_I IY_E
RIGHTS	R_B AY_I T_I S_E #1
RIGHTY	R_B AY_I T_I IY_E
RIGID	R_B IH_I JH_I IH_I D_E
RIGOROUS	R_B IH_I G_I AX_I R_I IH_I S_E
RIGORS	R_B IH_I G_I ER_I Z_E
RIGS	R_B IH_I G_I Z_E
RILED	R_B AY_I L_I D_E
RILEY	R_B AY_I L_I IY_E
RIM	R_B IH_I M_E #2
RIN	R_B IH_I N_E
RING	R_B IH_I NG_E #1
RINGING	R_B IH_I NG_I IH_I NG_E #1
RINGS	R_B IH_I NG_I Z_E
RINGWALD	R_B IH_I NG_I W_I AO_I L_I D_E
RINK	R_B IH_I NG_I K_E
RINKY--DINK-	R_B IH_I NG_I K_I IY_E
RINKY-DINK	R_B IH_I NG_I K_I IY_I D_I IH_I NG_I K_E
RINSE	R_B IH_I N_I S_E
RIO	R_B IY_I OW_E
RIODOSA	R_B IY_I OW_I D_I OW_I S_I AX_E
RIOS	R_B IY_I OW_I S_E
RIOT	R_B AY_I AX_I T_E
RIOTING	R_B AY_I AX_I T_I IH_I NG_E
RIOTS	R_B AY_I AX_I T_I S_E
RIP	R_B IH_I P_E
RIP-OFF	R_B IH_I P_I AO_I F_E
RIP-OFFS	R_B IH_I P_I AO_I F_I S_E
RIPE	R_B AY_I P_E
RIPLEY	R_B IH_I P_I L_I IY_E
RIPPED	R_B IH_I P_I T_E
RIPPING	R_B IH_I P_I IH_I NG_E
RIPPLE	R_B IH_I P_I AX_I L_E
RIPS	R_B IH_I P_I S_E
RIS-EN-	R_B IH_I Z_E
RISE	R_B AY_I Z_E #2
RISEN	R_B IH_I Z_I IH_I N_E
RISES	R_B AY_I Z_I IH_I Z_E
RISING	R_B AY_I Z_I IH_I NG_E
RISK	R_B IH_I S_I K_E
RISKED	R_B IH_I S_I K_I T_E
RISKIER	R_B IH_I S_I K_I IY_I ER_E
RISKING	R_B IH_I S_I K_I IH_I NG_E
RISKS	R_B IH_I S_I K_I S_E
RISKY	R_B IH_I S_I K_I IY_E
RISQUE	R_B IH_I S_I K_I EY_E
RITA	R_B IY_I T_I AX_E
RITA'S	R_B IH_I T_I AX_I Z_E
RITE	R_B AY_I T_E #4
RITUAL	R_B IH_I CH_I UW_I AX_I L_E
RITUALS	R_B IH_I CH_I UW_I AX_I L_I Z_E
RITZY	R_B IH_I T_I S_I IY_E
RIVAL	R_B AY_I V_I AX_I L_E
RIVALRY	R_B AY_I V_I AX_I L_I R_I IY_E #2
RIVALS	R_B AY_I V_I AX_I L_I Z_E
RIVER	R_B IH_I V_I ER_E
RIVERS	R_B IH_I V_I ER_I Z_E
RIVERSIDE	R_B IH_I V_I ER_I S_I AY_I D_E
RIVERVIEW	R_B IH_I V_I ER_I V_I Y_I UW_E
RIVET	R_B IH_I V_I IH_I T_E
RIVETED	R_B IH_I V_I IH_I T_I IH_I D_E
RIVETING	R_B IH_I V_I IH_I T_I IH_I NG_E
RIVIERA	R_B IH_I V_I IY_I EH_I R_I AX_E
RN	AA_B R_I EH_I N_E
RNS	AA_B R_I EH_I N_I S_E
RO-BERT-	R_B AA_E #1
RO-CHESTER-	R_B AA_E #2
RO-CK-	R_B AA_E #3
RO-LL-	R_B OW_E #2
RO-N-	R_B AA_E #4
RO-SS-	R_B AO_E #2
RO-UGH-	R_B AH_E #1
RO-UND-	R_B AW_E #3
ROA-D-	R_B OW_E #3
ROACHES	R_B OW_I CH_I IH_I Z_E
ROAD	R_B OW_I D_E #3
ROADBLOCKS	R_B OW_I D_I B_I L_I AA_I K_I S_E
ROADS	R_B OW_I D_I Z_E #2
ROADSIDE	R_B OW_I D_I S_I AY_I D_E
ROADSIDES	R_B OW_I D_I S_I AY_I D_I Z_E
ROADWAY	R_B OW_I D_I W_I EY_E
ROADWAYS	R_B OW_I D_I W_I EY_I Z_E
ROAM	R_B OW_I M_E #1
ROAMING	R_B OW_I M_I IH_I NG_E
ROANOKE	R_B OW_I AX_I N_I OW_I K_E
ROAR	R_B OW_I R_E
ROARED	R_B OW_I R_I D_E
ROARING	R_B OW_I R_I IH_I NG_E
ROARS	R_B OW_I R_I Z_E
ROAST	R_B OW_I S_I T_E
ROASTED	R_B OW_I S_I T_I IH_I D_E
ROASTING	R_B OW_I S_I T_I IH_I NG_E
ROASTS	R_B OW_I S_I T_I S_E
ROB	R_B AA_I B_E #1
ROBB	R_B AA_I B_E #2
ROBBED	R_B AA_I B_I D_E
ROBBER	R_B AA_I B_I ER_E
ROBBER'S	R_B AA_I B_I ER_I Z_E #1
ROBBERIES	R_B AA_I B_I AX_I R_I IY_I Z_E
ROBBERS	R_B AA_I B_I ER_I Z_E #2
ROBBERY	R_B AA_I B_I AX_I R_I IY_E
ROBBIE	R_B AA_I B_I IY_E #1
ROBBING	R_B AA_I B_I IH_I NG_E
ROBBY	R_B AA_I B_I IY_E #2
ROBE	R_B OW_I B_E
ROBERT	R_B AA_I B_I ER_I T_E
ROBERT'S	R_B AA_I B_I ER_I T_I S_E #1
ROBERTO	R_B AX_I B_I EH_I R_I T_I OW_E
ROBERTS	R_B AA_I B_I ER_I T_I S_E #2
ROBERTS'	R_B AA_I B_I ER_I T_I S_E #3
ROBERTS'S	R_B AA_I B_I ER_I T_I S_I IH_I Z_E
ROBIN	R_B AA_I B_I IH_I N_E
ROBINSON	R_B AA_I B_I IH_I N_I S_I AX_I N_E
ROBINSON'S	R_B AA_I B_I IH_I N_I S_I AX_I N_I Z_E
ROBOCOP	R_B OW_I B_I OW_I K_I AA_I P_E
ROBOT	R_B OW_I B_I AA_I T_E
ROBOTIC	R_B AX_I B_I AA_I T_I IH_I K_E
ROBOTIZING	R_B OW_I B_I AA_I T_I AY_I Z_I IH_I NG_E
ROBOTS	R_B OW_I B_I AA_I T_I S_E
ROBS	R_B AA_I B_I Z_E
ROBUST	R_B OW_I B_I AH_I S_I T_E
ROBY	R_B OW_I B_I IY_E
ROCCO'S	R_B AA_I K_I OW_I Z_E
ROCHESTER	R_B AA_I CH_I EH_I S_I T_I ER_E
ROCHESTER'S	R_B AA_I CH_I EH_I S_I T_I ER_I Z_E
ROCK	R_B AA_I K_E #1
ROCK-Y-	R_B AA_I K_E #2
ROCKABILLY	R_B AA_I K_I AX_I B_I IH_I L_I IY_E
ROCKER	R_B AA_I K_I ER_E
ROCKET	R_B AA_I K_I IH_I T_E
ROCKETED	R_B AA_I K_I IH_I T_I IH_I D_E
ROCKETING	R_B AA_I K_I IH_I T_I IH_I NG_E
ROCKETS	R_B AA_I K_I IH_I T_I S_E
ROCKFORD	R_B AA_I K_I F_I ER_I D_E
ROCKIES	R_B AA_I K_I IY_I Z_E
ROCKING	R_B AA_I K_I IH_I NG_E
ROCKPORT	R_B AA_I K_I P_I OW_I R_I T_E
ROCKS	R_B AA_I K_I S_E
ROCKVILLE	R_B AA_I K_I V_I IH_I L_E
ROCKWELL	R_B AA_I K_I W_I EH_I L_E
ROCKY	R_B AA_I K_I IY_E
ROD	R_B AA_I D_E
RODE	R_B OW_I D_E #4
RODENTS	R_B OW_I D_I EN_I T_I S_E
RODEO	R_B OW_I D_I EY_I OW_E
RODEOS	R_B OW_I D_I EY_I OW_I Z_E
RODGERS	R_B AA_I JH_I ER_I Z_E #1
RODMAN	R_B AA_I D_I M_I AX_I N_E
RODNEY	R_B AA_I D_I N_I IY_E
RODOLFO'S	R_B AX_I D_I AO_I L_I F_I OW_I Z_E
RODRIGUEZ	R_B AA_I D_I R_I IY_I G_I EH_I Z_E
RODS	R_B AA_I D_I Z_E #2
ROEBUCK	R_B OW_I B_I AH_I K_E
ROGER	R_B AA_I JH_I ER_E
ROGERS	R_B AA_I JH_I ER_I Z_E #2
ROLANDO	R_B OW_I L_I AA_I N_I D_I OW_E
ROLE	R_B OW_I L_E #2
ROLE'S	R_B OW_I L_I Z_E #1
ROLES	R_B OW_I L_I Z_E #2
